Concepticon_Gloss.xo,Concepticon_Gloss.yo,xo_source_score,xo_source_odds,labels
BE BORN,BOOTY,8052618.333333359,10.735987314236596,1.0
FEAR (BE AFRAID),COWARD,7965563.0,10.735987314236478,1.0
IDOL,PICTURE (PAINTING),4795575.0,10.715530628889361,1.0
SLOW,SLOWLY,5893001.999999975,10.658851745605643,1.0
FIND,BOOTY,7878507.666666642,10.655605453109592,1.0
FLAX OR LINEN,LINEN,4859516.0,10.636853298084128,1.0
GRAIN,MILLET,11007023.42857146,10.613739564152597,1.0
BREAST,SAGO,18726402.0,10.606461496888947,1.0
BODY LOUSE,BEDBUG,4795575.0,10.557214684269065,1.0
BODY LOUSE,TICK,4795575.0,10.557214684269065,1.0
MOTHER,TEN THOUSAND,10630070.571428534,10.513750009169943,1.0
WAIT (FOR),HARVEST CROPS,3880299.333333321,10.509849063485753,1.0
HIT,SLAP,7443231.0,10.487413076258251,1.0
STICK,BURDEN STICK,7399703.333333357,10.465657594944059,1.0
CALL,CALL (APPEAL),10253117.714285757,10.427378824134399,1.0
KNOW (SOMETHING),PRIEST,16693821.0,10.426273187290427,1.0
HUT,COMPOUND,7399703.333333358,10.421638113480128,1.0
LUNG,PHLEGM,5737923.000000028,10.402789061393651,1.0
BROTHER,SAME-SEX OLDER SIBLING,16293969.0,10.386315836346704,1.0
NEW,TIGHT,10102336.57142852,10.37749550974597,1.0
NEW,BOX,10102336.571428517,10.377495509745966,1.0
SOUND OR NOISE,CALL (APPEAL),9989250.714285752,10.346882757663797,1.0
FEAR (FRIGHT),SURPRISED,5479458.000000027,10.31396325004805,1.0
SHELL,OYSTERS,5479458.000000028,10.223312491442734,1.0
SUN,DRY SEASON,14361351.0,10.16697358360523,1.0
HIRE OR RENT,HIRE,4475870.0,10.14396632977786,1.0
SEVEN,SEVENTY,5324379.0000000475,10.083789624942847,1.0
ROOF,AGOUTI,5324379.000000047,10.083789624942842,1.0
CARRY,ENDURE,27256006.55555544,10.066973432893485,1.0
MUSHROOM,MUER (FUNGUS),3129525.0,10.01496071811447,1.0
ROTTEN,LARVA,8820696.857142758,9.996908389766922,1.0
HURRY,BUSY,5220993.000000026,9.988322640960746,1.0
HOLD,ENDURE,24503479.0,9.965273217137183,1.0
SPLIT,MOVE AWAY,12828585.0,9.954493752754004,1.0
RUB,OVERCOME,12761943.0,9.944307362751465,1.0
THINK,MISS (SOMEBODY),6485622.333333361,9.940528218620347,1.0
HOOK,OWL,6529150.0,9.940528218620205,1.0
IRON,OTTER,8556829.85714273,9.921181841587039,1.0
HEAVY,STINGRAY,8443744.0,9.88222176069827,1.0
FAT (ORGANIC SUBSTANCE),MARROW,12095523.0,9.85407288141164,1.0
FAT (ORGANIC SUBSTANCE),MAY (MONTH),12128844.0,9.854072881411563,1.0
TOWN,COMPOUND,6355039.333333362,9.834381858238565,1.0
TEACH,SCHOOL,11995560.0,9.820578229876576,1.0
BITTER,RAVINE,8255267.571428595,9.815588976984243,1.0
BAD,ELK,11828955.0,9.79196772675182,1.0
FIELD,DOVE,11828955.0,9.791967726751814,1.0
FALL,ANIMAL OR MEAT,11362461.0,9.708282780843492,1.0
PLAY,MAKE A JOKE,4028283.0,9.70382994919578,1.0
CANDLE,LAMP,4156165.0,9.703829949195656,1.0
HORN (ANATOMY),HORN (INSTRUMENT),6050345.666666636,9.696454345847624,1.0
STRAIGHT,CORRECT (SOMETHING OR SOMEBODY),11162535.0,9.670708696008896,1.0
CATTLE,ANIMAL OR MEAT,11029251.0,9.645056711658933,1.0
FROST,HOARFROST,4859141.999999976,9.637727681719822,1.0
SOON,SHORT (TIME),5963290.333333365,9.610751355810688,1.0
WAKE UP,AWAKE,5963290.333333365,9.610751355810688,1.0
PULL,PAIR (CLASSIFIER),17592241.33333345,9.583535779714909,1.0
NO OR NOT,APRON,5963290.333333365,9.581672853983276,1.0
FISH,FISHING,7539057.142857132,9.541187774098745,1.0
PATH OR ROAD,KIND (THING),10462794.0,9.530293406434227,1.0
SOUL,ALREADY,10462794.0,9.530293406434227,1.0
THIGH,MILLET,7388276.0,9.462824615369687,1.0
MIND,LONGING (WISH),7350580.714285728,9.446816969879636,1.0
FAECES (EXCREMENT),EXCRETA,7124409.0,9.398102290351755,1.0
HOLD OR TAKE,CARRY HORIZONTALLY,2879163.0,9.375846269575327,1.0
GRASS,SAVANNA,9696411.0,9.374263709053793,1.0
FIRE,FRESHWATER EEL,15138901.555555483,9.373339036923436,1.0
VULTURE,BUZZARD,4497290.999999963,9.37039089732817,1.0
YEAR,DRY SEASON,9629769.0,9.350546023690631,1.0
CHILD (DESCENDANT),MARROW,9629769.0,9.350546023690628,1.0
EMERGE (APPEAR),VISIT,3836460.0,9.234093093437092,1.0
FLY (MOVE THROUGH AIR),FISHING,6860542.0,9.227834220694938,1.0
MEDICINE,PILL,5266847.666666632,9.211302345944745,1.0
SPEAK,SERMON,26489878.000000197,9.206657882000261,1.0
REPAIR,IMPROVE (SOMETHING),4342211.999999985,9.202643246496692,1.0
NEW,TOGETHER,8963349.0,9.173256584422242,1.0
MEETING HOUSE,RITUAL GROUND,3772519.0,9.136329111068111,1.0
PICK UP,ENDURE,12954830.777777715,9.132650609373506,1.0
CLOUD,CLOUDY,12715480.555555493,9.102073767637505,1.0
PROMISE,TREATY,4342211.999999985,9.087573588999305,1.0
LONG,LENGTH,12446211.555555493,9.082470010226013,1.0
NARROW,TIGHT,6521284.428571395,9.082178361194442,1.0
BARK,DRAGON,12506049.111111028,9.074519096539328,1.0
SAY,SERMON,22383131.000000104,9.060941635752387,1.0
MONKEY,CEBUS MONKEY,3121110.3333333186,9.049398322784247,1.0
TWENTY,TWENTY ONE,2753982.0,9.047782063328318,1.0
BLIND,BLINK,3708578.0,9.037232216770676,1.0
BEFORE,ALREADY,8396892.0,9.023378836035665,1.0
FAT (OBESE),FAT (OF MEAT AND FOOD),8263608.0,9.01353850755336,1.0
SEIZE,GLUE,21050478.000000197,9.003270631818033,1.0
DAUGHTER,FARM,11907673.555555498,8.991378594006706,1.0
TAIL,BIRCH,5092737.0,8.940144887759512,1.0
LEG,ANTHILL,19201081.99999984,8.912830954556469,1.0
WE (INCLUSIVE),WE TWO (INCLUSIVE),11040029.0,8.872385504753728,1.0
FRUIT,GOURD OR MELON,10950272.666666735,8.842971518000489,1.0
FRUIT,G-STRING,10950272.666666735,8.842971518000489,1.0
RAFTER,SLING,4962154.0,8.832887511452972,1.0
MOUNTAIN,FETCH,10770760.0,8.827968206711734,1.0
FATHER,BILE,7697151.0,8.792490779127084,1.0
FIELD,FIELD (UPLAND),10621166.11111101,8.792164293504293,1.0
PLAIN,SAVANNA,7597188.0,8.758488814585126,1.0
BLACK,BROWN,10411734.666666728,8.749823732760412,1.0
BLACK,CLOUDY,10381815.888888981,8.749823732760374,1.0
BRIDGE,AUBERGINE,4831571.0,8.722374853377346,1.0
INHALE,SHRINK,2628801.0,8.713843430643626,1.0
HOUSE,BARN OR SHED,15774260.0,8.703579682172698,1.0
FEAR (FRIGHT),COWARD,4788043.333333363,8.684788160105672,1.0
BITTER,BILE,7363941.0,8.676555545462746,1.0
MEAT,WILD ANIMAL,15475093.000000037,8.67224260218644,1.0
